Voltage,Current,Time
0.2465,-9.999999999999999e-05,1.1920928955078125e-06
0.246375,-9.999999999999999e-05,0.06079816818237305
0.246375,-0.0003,0.12145280838012695
0.246375,-9.999999999999999e-05,0.18207669258117676
0.24625,-0.00019999999999999998,0.24291539192199707
0.24625,-0.0003,0.3040006160736084
0.246125,-0.00039999999999999996,0.3646695613861084
0.24625,-0.0003,0.42523622512817383
0.246125,-0.00019999999999999998,0.48581600189208984
0.24625,-9.999999999999999e-05,0.5464849472045898
0.246375,-0.00019999999999999998,0.6070985794067383
0.246125,-0.00019999999999999998,0.6677160263061523
0.2465,-0.0003,0.7283406257629395
0.2465,-0.0004999999999999999,0.7889308929443359
0.246375,-0.00039999999999999996,0.8495333194732666
0.246375,-0.00039999999999999996,0.9101262092590332
0.246125,-0.0003,0.9707846641540527
0.2465,-0.00019999999999999998,1.0315334796905518
0.24625,-9.999999999999999e-05,1.0921649932861328
0.24625,-0.00019999999999999998,1.1528196334838867
0.245375,-0.0003,1.2134356498718262
0.24625,-0.00019999999999999998,1.2741763591766357
0.246,-0.0007,1.3344817161560059
0.246625,-0.00019999999999999998,1.3951749801635742
0.246625,-9.999999999999999e-05,1.4558324813842773
0.246375,-0.0003,1.5165531635284424
0.246625,-9.999999999999999e-05,1.577261209487915
0.24625,-0.0006,1.637831211090088
0.24575,-0.00039999999999999996,1.6983563899993896
0.246125,-0.00019999999999999998,1.7590374946594238
0.245875,-0.0004999999999999999,1.8197131156921387
0.246375,-0.00039999999999999996,1.880399465560913
0.246625,-0.00019999999999999998,1.9410696029663086
0.246,-0.00039999999999999996,2.001805305480957
0.24575,-0.0004999999999999999,2.0624663829803467
0.24625,0.0,2.1230764389038086
0.2455,-0.00039999999999999996,2.183669090270996
0.246875,-0.0003,2.244401693344116
0.246375,-0.0003,2.3050434589385986
0.24625,-0.00019999999999999998,2.365654706954956
0.24725,-9.999999999999999e-05,2.4262492656707764
0.246375,-0.00019999999999999998,2.486924886703491
0.24575,-0.0003,2.5475547313690186
0.24625,-0.00019999999999999998,2.608290910720825
0.246125,-0.00019999999999999998,2.6689865589141846
0.246375,-0.0003,2.7297041416168213
0.246875,-0.00019999999999999998,2.7903892993927
0.24625,-0.00039999999999999996,2.851093292236328
0.245875,-0.0006,2.9117982387542725
0.246,-0.00039999999999999996,2.9724647998809814
0.247125,-0.0003,3.0331602096557617
0.2465,-9.999999999999999e-05,3.093850612640381
0.246375,-0.0003,3.154515266418457
0.246125,0.0,3.2152249813079834
0.246,-0.00039999999999999996,3.275933027267456
0.245625,-0.0003,3.3366174697875977
0.245625,-0.00019999999999999998,3.397285223007202
0.24675,-0.0003,3.4579851627349854
0.24625,-0.0003,3.518667459487915
0.246375,-0.00019999999999999998,3.579314947128296
0.247125,0.0,3.640010356903076
0.245875,-0.00039999999999999996,3.700679302215576
0.246,-9.999999999999999e-05,3.7613494396209717
0.2455,-0.0003,3.8220221996307373
0.245875,-0.00019999999999999998,3.8826873302459717
0.24625,-0.00039999999999999996,3.9433562755584717
0.246125,-0.0003,4.004014492034912
0.245875,-0.0003,4.064687013626099
0.246125,-0.0003,4.125349283218384
0.24575,-0.0006,4.186008930206299
0.246125,-0.00039999999999999996,4.24681830406189
0.246125,-9.999999999999999e-05,4.307475566864014
0.24325,-0.00039999999999999996,4.368133068084717
0.245875,-0.00019999999999999998,4.428775787353516
0.24625,-0.0003,4.489444971084595
0.246,-9.999999999999999e-05,4.55007266998291
0.246125,-0.00019999999999999998,4.610805034637451
0.245875,-0.00019999999999999998,4.671500205993652
0.245875,-0.00019999999999999998,4.7321696281433105
0.24575,0.0,4.792865037918091
0.245875,-9.999999999999999e-05,4.85355019569397
0.2455,-0.00039999999999999996,4.914205074310303
1.152375,1.1562999999999999,4.974867343902588
1.288125,0.9425999999999999,5.0355424880981445
1.331625,0.8663,5.096240282058716
1.351,0.8195999999999999,5.15691351890564
1.358625,0.7979999999999999,5.217603921890259
1.36175,0.7827999999999999,5.278313636779785
1.363875,0.7706,5.339019060134888
1.366625,0.7604999999999998,5.399712324142456
1.3687500000000001,0.7509999999999999,5.4603800773620605
1.372,0.7427999999999999,5.5207743644714355
1.3755,0.7343,5.581183910369873
1.3800000000000001,0.7273999999999999,5.641692876815796
1.38575,0.7198,5.702239274978638
1.3915,0.7119999999999999,5.762752056121826
1.398125,0.7045999999999999,5.823318958282471
1.40625,0.6952999999999999,5.883775472640991
1.4155,0.6855999999999999,5.944311141967773
1.42575,0.676,6.004723310470581
1.437875,0.6655999999999999,6.065182209014893
1.4528750000000001,0.6528999999999999,6.125552415847778
1.469875,0.6396,6.185912609100342
1.489125,0.6236999999999999,6.246333837509155
1.51075,0.6073999999999999,6.306723117828369
1.532,0.5902,6.367079257965088
1.552625,0.5744,6.427462816238403
1.572125,0.5602999999999999,6.487847566604614
1.5905,0.5464,6.54827618598938
1.60925,0.5325,6.608734130859375
1.627125,0.5195,6.66913366317749
1.6440000000000001,0.5085999999999999,6.729569673538208
1.658875,0.49679999999999996,6.789935350418091
1.67075,0.48949999999999994,6.850294828414917
1.6795,0.48429999999999995,6.910698413848877
1.68575,0.47869999999999996,6.971129655838013
1.69075,0.4767,7.0315515995025635
1.694625,0.4747,7.091973781585693
1.697375,0.47329999999999994,7.152395248413086
1.699375,0.47159999999999996,7.212810039520264
1.701625,0.4714999999999999,7.273242473602295
1.70225,0.4702,7.33367657661438
1.704625,0.4694,7.394075393676758
1.706,0.4684999999999999,7.454435586929321
1.7068750000000001,0.4684999999999999,7.5148234367370605
1.7075,0.4674,7.575193643569946
1.7095,0.4664,7.635615587234497
1.709625,0.46599999999999997,7.696033716201782
1.7105000000000001,0.46579999999999994,7.756425619125366
1.71075,0.46499999999999997,7.816801309585571
1.711875,0.4637,7.877152681350708
1.7121250000000001,0.4634,7.937510013580322
1.712875,0.46309999999999996,7.997887372970581
1.714,0.46209999999999996,8.058247327804565
1.714375,0.46179999999999993,8.118607759475708
1.714,0.46099999999999997,8.178965330123901
1.71475,0.46099999999999997,8.23941159248352
1.714875,0.4597,8.299790620803833
1.715875,0.45979999999999993,8.360018968582153
1.7165000000000001,0.4592,8.420478582382202
1.716625,0.45849999999999996,8.480859518051147
1.71675,0.4582,8.541231632232666
1.7181250000000001,0.45729999999999993,8.60160756111145
1.71625,0.4569,8.662007331848145
1.718375,0.4567,8.72242021560669
1.71825,0.4572,8.782784461975098
1.718875,0.4557,8.843142032623291
1.719125,0.4557,8.903493165969849
1.719,0.45499999999999996,8.963847875595093
1.72,0.4543,9.02422285079956
1.719625,0.45439999999999997,9.084584712982178
1.7205000000000001,0.45349999999999996,9.14496898651123
1.720375,0.45389999999999997,9.205334424972534
1.72125,0.45299999999999996,9.265709638595581
1.720875,0.45239999999999997,9.326068878173828
1.721375,0.45209999999999995,9.386426210403442
1.72225,0.4518,9.4468252658844
1.7215,0.4512,9.507200241088867
1.72225,0.45099999999999996,9.567583799362183
1.7221250000000001,0.45099999999999996,9.627965211868286
1.722375,0.45039999999999997,9.68838119506836
1.722875,0.45039999999999997,9.748749256134033
1.722375,0.4498,9.809126615524292
1.723,0.44939999999999997,9.869486093521118
1.723125,0.44859999999999994,9.929843187332153
1.723,0.4483,9.990212678909302
1.7237500000000001,0.44849999999999995,10.050581693649292
1.723625,0.4478,10.110810041427612
1.7237500000000001,0.44739999999999996,10.171202182769775
1.723875,0.44739999999999996,10.231582641601562
1.7235,0.44699999999999995,10.291985511779785
1.7241250000000001,0.44689999999999996,10.352352380752563
1.7245000000000001,0.4463,10.41274619102478
1.724625,0.4458,10.473133563995361
1.7241250000000001,0.44559999999999994,10.533759593963623
1.7245000000000001,0.4458,10.594325304031372
1.725375,0.4448,10.654993295669556
1.72525,0.44549999999999995,10.715638637542725
1.725,0.4448,10.77626657485962
